"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","201.34870390208255","233.13922311609196","0.12548828125","0.14306640625","0.10791015625","1560","0.00018395681610894197","32","0.00018395681610894197","0","0.00018395681610894197","0.00018395681610894197","15:0.0018576212904824196;1:0.0019687179322124826","15:68;1:68","15:0.0020646621607558757;1:0.0023816000591606046","0.12548828125","Yes"
"1","226.23466188702824","166.9363156031208","0.058837890625","0.03662109375","0.0810546875","1560","0.0002025432994167822","32","0.0002025432994167822","0","0.0002025432994167822","0.0002025432994167822","2:0.0023804942363627735;0:0.0019687179322124826","2:68;0:68","2:0.0022531954762641804;0:0.0023816000591606046","0.058837890625","Yes"
"2","149.07081260130875","148.31716617257945","0.060546875","0.0859375","0.03515625","1560","0.00022995047179875358","32","0.00022995047179875358","0","0.00022995047179875358","0.00022995047179875358","1:0.0023804942363627735;3:0.0015078465771616034","1:68;3:68","1:0.0022531954762641804;3:0.0024269173805088473","0.060546875","Yes"
"3","252.2244159335592","165.48284148126217","0.012451171875","0.013671875","0.01123046875","1560","0.00021043314144770112","32","0.00021043314144770112","0","0.00021043314144770112","0.00021043314144770112","2:0.0015078465771616034;4:0.001742842534360134","2:68;4:68","2:0.0024269173805088473;4:0.0022705518145172132","0.012451171875","Yes"
"4","154.54258534796122","198.90102721872404","0.045166015625","0.04736328125","0.04296875","1560","0.0002565982522147508","32","0.0002565982522147508","0","0.0002565982522147508","0.0002565982522147508","3:0.001742842534360134;5:0.0023619412812407314;16:0.0015258045741518844","3:68;5:68;16:80","3:0.0022705518145172132;5:0.0024238731202192443;16:0.0018506124714549321","0.045166015625","Yes"
"5","238.30363155621095","194.0253261134689","0.0263671875","0.01416015625","0.03857421875","1560","0.00016610392120336006","32","0.00016610392120336006","0","0.00016610392120336006","0.00016610392120336006","6:0.002027763806013244;4:0.0023619412812407314","6:68;4:68","6:0.0026322239371699974;4:0.0024238731202192443","0.0263671875","Yes"
"6","46.040357297394266","71.62810789094054","0.01220703125","0.01953125","0.0048828125","1560","0.0004620459877016874","32","0.0004620459877016874","0","0.0004620459877016874","0.0004620459877016874","5:0.002027763806013244;7:0.002326054718160886","5:68;7:68","5:0.0026322239371699974;7:0.0030854173043335653","0.01220703125","Yes"
"7","252.04694426299318","143.24552188907705","0.0810546875","0.05419921875","0.10791015625","1560","0.0003587779987534003","32","0.0003587779987534003","0","0.0003587779987534003","0.0003587779987534003","6:0.002326054718160886;8:0.001987467287810657","6:68;8:68","6:0.0030854173043335653;8:0.0024161276889615446","0.0810546875","Yes"
"8","147.83066641317183","135.83707235371952","0.0712890625","0.06005859375","0.08251953125","1560","0.00037071074168764815","32","0.00037071074168764815","0","0.00037071074168764815","0.00037071074168764815","9:0.002783767229063594;17:0.0020794331370741215;7:0.001987467287810657","9:68;17:108;7:68","9:0.002400922433934388;17:0.004198722462570692;7:0.0024161276889615446","0.0712890625","Yes"
"9","71.3228973154484","80.17872132140079","0.02880859375","0.0498046875","0.0078125","1560","0.00036799774532768277","32","0.00036799774532768277","0","0.00036799774532768277","0.00036799774532768277","8:0.002783767229063594;10:0.0021640016564652698","8:68;10:68","8:0.002400922433934388;10:0.001933333884888977","0.02880859375","Yes"
"10","248.18758142104636","250.83806244646823","0.051025390625","0.04248046875","0.0595703125","1560","0.00012726492577779007","32","0.00012726492577779007","0","0.00012726492577779007","0.00012726492577779007","9:0.0021640016564652698;11:0.001525986511699412","9:68;11:68","9:0.001933333884888977;11:0.0016204108940979511","0.051025390625","Yes"
