start,end,duration,event,op,resource,kind,block
0,0,0,barrier,barrier,Qubit 129,barrier,main
0,0,0,barrier,barrier,Qubit 60,barrier,main
0,0,0,barrier,barrier,Qubit 61,barrier,main
0,0,0,barrier,barrier,Qubit 62,barrier,main
0,0,0,barrier,barrier,Qubit 63,barrier,main
2510,2510,0,barrier,barrier,Qubit 129,barrier,main
2510,2510,0,barrier,barrier,Qubit 14,barrier,main
2510,2510,0,barrier,barrier,Qubit 54,barrier,main
2510,2510,0,barrier,barrier,Qubit 60,barrier,main
2510,2510,0,barrier,barrier,Qubit 61,barrier,main
2510,2510,0,barrier,barrier,Qubit 62,barrier,main
2510,2510,0,barrier,barrier,Qubit 63,barrier,main
2520,2558,38,cz,cz_61_54,Qubit 54,play,main
2520,2558,38,cz,cz_61_54,Qubit 61,play,main
2558,2558,0,cz,cz_61_54,Qubit 54,shift_phase,main
2558,2558,0,cz,cz_61_54,Qubit 61,shift_phase,main
2566,2566,0,barrier,barrier,Qubit 129,barrier,main
2566,2566,0,barrier,barrier,Qubit 14,barrier,main
2566,2566,0,barrier,barrier,Qubit 54,barrier,main
2566,2566,0,barrier,barrier,Qubit 60,barrier,main
2566,2566,0,barrier,barrier,Qubit 61,barrier,main
2566,2566,0,barrier,barrier,Qubit 62,barrier,main
2566,2566,0,barrier,barrier,Qubit 63,barrier,main
2574,2591,17,cz,cz_61_62,Qubit 61,play,main
2574,2591,17,cz,cz_61_62,Qubit 62,play,main
2591,2591,0,cz,cz_61_62,Qubit 61,shift_phase,main
2591,2591,0,cz,cz_61_62,Qubit 62,shift_phase,main
2599,2599,0,barrier,barrier,Qubit 129,barrier,main
2599,2599,0,barrier,barrier,Qubit 14,barrier,main
2599,2599,0,barrier,barrier,Qubit 54,barrier,main
2599,2599,0,barrier,barrier,Qubit 60,barrier,main
2599,2599,0,barrier,barrier,Qubit 61,barrier,main
2599,2599,0,barrier,barrier,Qubit 62,barrier,main
2599,2599,0,barrier,barrier,Qubit 63,barrier,main
2607,2648,41,cz,cz_62_63,Qubit 62,play,main
2607,2648,41,cz,cz_62_63,Qubit 63,play,main
2648,2648,0,cz,cz_62_63,Qubit 62,shift_phase,main
2648,2648,0,cz,cz_62_63,Qubit 63,shift_phase,main
2656,2656,0,barrier,barrier,Qubit 129,barrier,main
2656,2656,0,barrier,barrier,Qubit 14,barrier,main
2656,2656,0,barrier,barrier,Qubit 54,barrier,main
2656,2656,0,barrier,barrier,Qubit 60,barrier,main
2656,2656,0,barrier,barrier,Qubit 61,barrier,main
2656,2656,0,barrier,barrier,Qubit 62,barrier,main
2656,2656,0,barrier,barrier,Qubit 63,barrier,main
2672,2689,17,cz,cz_61_60,Qubit 60,play,main
2672,2689,17,cz,cz_61_60,Qubit 61,play,main
2689,2689,0,cz,cz_61_60,Qubit 60,shift_phase,main
2689,2689,0,cz,cz_61_60,Qubit 61,shift_phase,main
2697,2697,0,barrier,barrier,Qubit 129,barrier,main
2697,2697,0,barrier,barrier,Qubit 14,barrier,main
2697,2697,0,barrier,barrier,Qubit 54,barrier,main
2697,2697,0,barrier,barrier,Qubit 60,barrier,main
2697,2697,0,barrier,barrier,Qubit 61,barrier,main
2697,2697,0,barrier,barrier,Qubit 62,barrier,main
2697,2697,0,barrier,barrier,Qubit 63,barrier,main
2705,2705,0,barrier,barrier,Qubit 129,barrier,main
2705,2769,64,measure_start,measure_129,Qubit 129,play,main
2705,2705,0,barrier,barrier,Qubit 14,barrier,main
2705,2769,64,measure_start,measure_14,Qubit 14,play,main
2769,2841,72,measure_start,measure_129,Qubit 129,play,main
2769,2841,72,measure_start,measure_14,Qubit 14,play,main
2816,3056,240,measure_capture,measure_129,AWGR10_129,capture,main
2816,3056,240,measure_capture,measure_14,AWGR6_14,capture,main
2816,3264,448,broadcast,broadcast,Hub,broadcast,main
2841,2905,64,measure_start,measure_129,Qubit 129,play,main
2841,2905,64,measure_start,measure_14,Qubit 14,play,main
3264,3271,7,receive,receive,Receive,receive,main
3276,3276,0,barrier,barrier,Qubit 129,barrier,main
3276,3276,0,barrier,barrier,Qubit 14,barrier,main
3283,3283,0,barrier,barrier,Qubit 129,barrier,main
3283,3283,0,barrier,barrier,Qubit 14,barrier,main
3283,3283,0,barrier,barrier,Qubit 54,barrier,main
3283,3283,0,barrier,barrier,Qubit 60,barrier,main
3283,3283,0,barrier,barrier,Qubit 61,barrier,main
3283,3283,0,barrier,barrier,Qubit 62,barrier,main
3283,3283,0,barrier,barrier,Qubit 63,barrier,main
3372,3413,41,cz,cz_62_63,Qubit 62,play,then
3372,3413,41,cz,cz_62_63,Qubit 63,play,then
3388,3405,17,cz,cz_61_60,Qubit 60,play,then
3388,3405,17,cz,cz_61_60,Qubit 61,play,then
3405,3405,0,cz,cz_61_60,Qubit 60,shift_phase,then
3405,3405,0,cz,cz_61_60,Qubit 61,shift_phase,then
3413,3413,0,cz,cz_62_63,Qubit 62,shift_phase,then
3413,3413,0,cz,cz_62_63,Qubit 63,shift_phase,then
3421,3438,17,cz,cz_61_62,Qubit 61,play,then
3421,3438,17,cz,cz_61_62,Qubit 62,play,then
3438,3438,0,cz,cz_61_62,Qubit 61,shift_phase,then
3438,3438,0,cz,cz_61_62,Qubit 62,shift_phase,then
3463,3463,0,barrier,barrier,Qubit 129,barrier,main
3463,3463,0,barrier,barrier,Qubit 14,barrier,main
3463,3463,0,barrier,barrier,Qubit 54,barrier,main
3463,3463,0,barrier,barrier,Qubit 54,barrier,main
3463,3527,64,measure_start,measure_54,Qubit 54,play,main
3463,3463,0,barrier,barrier,Qubit 60,barrier,main
3463,3463,0,barrier,barrier,Qubit 61,barrier,main
3463,3463,0,barrier,barrier,Qubit 61,barrier,main
3463,3527,64,measure_start,measure_61,Qubit 61,play,main
3463,3463,0,barrier,barrier,Qubit 62,barrier,main
3463,3463,0,barrier,barrier,Qubit 62,barrier,main
3463,3527,64,measure_start,measure_62,Qubit 62,play,main
3463,3463,0,barrier,barrier,Qubit 63,barrier,main
3527,3599,72,measure_start,measure_54,Qubit 54,play,main
3527,3599,72,measure_start,measure_61,Qubit 61,play,main
3527,3599,72,measure_start,measure_62,Qubit 62,play,main
3574,3814,240,measure_capture,measure_54,AWGR12_54,capture,main
3574,3814,240,measure_capture,measure_61,AWGR8_61,capture,main
3574,3814,240,measure_capture,measure_62,AWGR8_62,capture,main
3599,3663,64,measure_start,measure_54,Qubit 54,play,main
3599,3663,64,measure_start,measure_61,Qubit 61,play,main
3599,3663,64,measure_start,measure_62,Qubit 62,play,main
3853,3853,0,barrier,barrier,Qubit 129,barrier,main
3853,3853,0,barrier,barrier,Qubit 14,barrier,main
3853,3853,0,barrier,barrier,Qubit 54,barrier,main
3853,3853,0,barrier,barrier,Qubit 54,barrier,main
3853,3853,0,barrier,barrier,Qubit 60,barrier,main
3853,3853,0,barrier,barrier,Qubit 61,barrier,main
3853,3853,0,barrier,barrier,Qubit 61,barrier,main
3853,3853,0,barrier,barrier,Qubit 62,barrier,main
3853,3853,0,barrier,barrier,Qubit 62,barrier,main
3853,3853,0,barrier,barrier,Qubit 63,barrier,main
