start,end,duration,event,op,resource,kind,block
0,0,0,barrier,barrier,Qubit 129,barrier,main
0,0,0,barrier,barrier,Qubit 29,barrier,main
0,0,0,barrier,barrier,Qubit 30,barrier,main
0,0,0,barrier,barrier,Qubit 31,barrier,main
9,2509,2500,qubit_op,INIT_31,Qubit 31,play,main
10,2510,2500,qubit_op,INIT_31,Qubit 31,play,main
1586,1650,64,qubit_op,INIT_129,Qubit 129,play,main
1586,1650,64,qubit_op,INIT_14,Qubit 14,play,main
1586,1650,64,qubit_op,INIT_28,Qubit 28,play,main
1586,1650,64,qubit_op,INIT_29,Qubit 29,play,main
1586,1650,64,qubit_op,INIT_30,Qubit 30,play,main
1650,1722,72,qubit_op,INIT_129,Qubit 129,play,main
1650,1722,72,qubit_op,INIT_14,Qubit 14,play,main
1650,1722,72,qubit_op,INIT_28,Qubit 28,play,main
1650,1722,72,qubit_op,INIT_29,Qubit 29,play,main
1650,1722,72,qubit_op,INIT_30,Qubit 30,play,main
1697,1937,240,other,INIT_129,AWGR10_129,capture,main
1697,1937,240,other,INIT_28,AWGR2_28,capture,main
1697,1937,240,other,INIT_29,AWGR2_29,capture,main
1697,1937,240,other,INIT_30,AWGR2_30,capture,main
1697,1937,240,other,INIT_14,AWGR6_14,capture,main
1722,1786,64,qubit_op,INIT_129,Qubit 129,play,main
1722,1786,64,qubit_op,INIT_14,Qubit 14,play,main
1722,1786,64,qubit_op,INIT_28,Qubit 28,play,main
1722,1786,64,qubit_op,INIT_29,Qubit 29,play,main
1722,1786,64,qubit_op,INIT_30,Qubit 30,play,main
2040,2048,8,qubit_op,INIT_129,Qubit 129,play,main
2040,2048,8,qubit_op,INIT_14,Qubit 14,play,main
2040,2048,8,qubit_op,INIT_28,Qubit 28,play,main
2040,2048,8,qubit_op,INIT_29,Qubit 29,play,main
2040,2048,8,qubit_op,INIT_30,Qubit 30,play,main
2048,2112,64,qubit_op,INIT_129,Qubit 129,play,main
2048,2112,64,qubit_op,INIT_14,Qubit 14,play,main
