start,end,duration,event,op,resource,kind,block
0,0,0,barrier,barrier,Qubit 129,barrier,main
0,0,0,barrier,barrier,Qubit 29,barrier,main
0,0,0,barrier,barrier,Qubit 30,barrier,main
0,0,0,barrier,barrier,Qubit 31,barrier,main
2510,2510,0,barrier,barrier,Qubit 129,barrier,main
2510,2510,0,barrier,barrier,Qubit 14,barrier,main
2510,2510,0,barrier,barrier,Qubit 28,barrier,main
2510,2510,0,barrier,barrier,Qubit 29,barrier,main
2510,2510,0,barrier,barrier,Qubit 30,barrier,main
2510,2510,0,barrier,barrier,Qubit 31,barrier,main
2520,2549,29,cz,cz_29_28,Qubit 28,play,main
2520,2549,29,cz,cz_29_28,Qubit 29,play,main
2549,2549,0,cz,cz_29_28,Qubit 28,shift_phase,main
2549,2549,0,cz,cz_29_28,Qubit 29,shift_phase,main
2557,2557,0,barrier,barrier,Qubit 129,barrier,main
2557,2557,0,barrier,barrier,Qubit 14,barrier,main
2557,2557,0,barrier,barrier,Qubit 28,barrier,main
2557,2557,0,barrier,barrier,Qubit 29,barrier,main
2557,2557,0,barrier,barrier,Qubit 30,barrier,main
2557,2557,0,barrier,barrier,Qubit 31,barrier,main
2565,2582,17,cz,cz_29_30,Qubit 29,play,main
2565,2582,17,cz,cz_29_30,Qubit 30,play,main
2582,2582,0,cz,cz_29_30,Qubit 29,shift_phase,main
2582,2582,0,cz,cz_29_30,Qubit 30,shift_phase,main
2590,2590,0,barrier,barrier,Qubit 129,barrier,main
2590,2590,0,barrier,barrier,Qubit 14,barrier,main
2590,2590,0,barrier,barrier,Qubit 28,barrier,main
2590,2590,0,barrier,barrier,Qubit 29,barrier,main
2590,2590,0,barrier,barrier,Qubit 30,barrier,main
2590,2590,0,barrier,barrier,Qubit 31,barrier,main
2598,2615,17,cz,cz_30_31,Qubit 30,play,main
2598,2615,17,cz,cz_30_31,Qubit 31,play,main
2615,2615,0,cz,cz_30_31,Qubit 30,shift_phase,main
2615,2615,0,cz,cz_30_31,Qubit 31,shift_phase,main
