start,end,duration,event,op,resource,kind,block
5,5,0,barrier,barrier,Qubit 11,barrier,main
5,5,0,barrier,barrier,Qubit 12,barrier,main
5,5,0,barrier,barrier,Qubit 13,barrier,main
5,5,0,barrier,barrier,Qubit 155,barrier,main
5,5,0,barrier,barrier,Qubit 18,barrier,main
1365,1365,0,barrier,barrier,Qubit 0,barrier,main
1365,1365,0,barrier,barrier,Qubit 10,barrier,main
1365,1365,0,barrier,barrier,Qubit 11,barrier,main
1365,1365,0,barrier,barrier,Qubit 12,barrier,main
1365,1365,0,barrier,barrier,Qubit 13,barrier,main
1365,1365,0,barrier,barrier,Qubit 155,barrier,main
1365,1365,0,barrier,barrier,Qubit 18,barrier,main
1376,1393,17,cz,cz_11_10,Qubit 10,play,main
1376,1393,17,cz,cz_11_10,Qubit 11,play,main
1393,1393,0,cz,cz_11_10,Qubit 10,shift_phase,main
1393,1393,0,cz,cz_11_10,Qubit 11,shift_phase,main
1402,1402,0,barrier,barrier,Qubit 0,barrier,main
1402,1402,0,barrier,barrier,Qubit 10,barrier,main
1402,1402,0,barrier,barrier,Qubit 11,barrier,main
1402,1402,0,barrier,barrier,Qubit 12,barrier,main
1402,1402,0,barrier,barrier,Qubit 13,barrier,main
1402,1402,0,barrier,barrier,Qubit 155,barrier,main
1402,1402,0,barrier,barrier,Qubit 18,barrier,main
1411,1428,17,cz,cz_11_12,Qubit 11,play,main
1411,1428,17,cz,cz_11_12,Qubit 12,play,main
1428,1428,0,cz,cz_11_12,Qubit 11,shift_phase,main
1428,1428,0,cz,cz_11_12,Qubit 12,shift_phase,main
1437,1437,0,barrier,barrier,Qubit 0,barrier,main
1437,1437,0,barrier,barrier,Qubit 10,barrier,main
1437,1437,0,barrier,barrier,Qubit 11,barrier,main
1437,1437,0,barrier,barrier,Qubit 12,barrier,main
1437,1437,0,barrier,barrier,Qubit 13,barrier,main
1437,1437,0,barrier,barrier,Qubit 155,barrier,main
1437,1437,0,barrier,barrier,Qubit 18,barrier,main
1446,1466,20,cz,cz_12_13,Qubit 12,play,main
1446,1466,20,cz,cz_12_13,Qubit 13,play,main
1466,1466,0,cz,cz_12_13,Qubit 12,shift_phase,main
1466,1466,0,cz,cz_12_13,Qubit 13,shift_phase,main
1475,1475,0,barrier,barrier,Qubit 0,barrier,main
1475,1475,0,barrier,barrier,Qubit 10,barrier,main
1475,1475,0,barrier,barrier,Qubit 11,barrier,main
1475,1475,0,barrier,barrier,Qubit 12,barrier,main
1475,1475,0,barrier,barrier,Qubit 13,barrier,main
1475,1475,0,barrier,barrier,Qubit 155,barrier,main
1475,1475,0,barrier,barrier,Qubit 18,barrier,main
1493,1510,17,cz,cz_11_18,Qubit 11,play,main
1493,1510,17,cz,cz_11_18,Qubit 18,play,main
1510,1510,0,cz,cz_11_18,Qubit 11,shift_phase,main
1510,1510,0,cz,cz_11_18,Qubit 18,shift_phase,main
1519,1519,0,barrier,barrier,Qubit 0,barrier,main
1519,1519,0,barrier,barrier,Qubit 10,barrier,main
1519,1519,0,barrier,barrier,Qubit 11,barrier,main
1519,1519,0,barrier,barrier,Qubit 12,barrier,main
1519,1519,0,barrier,barrier,Qubit 13,barrier,main
1519,1519,0,barrier,barrier,Qubit 155,barrier,main
1519,1519,0,barrier,barrier,Qubit 18,barrier,main
1528,1528,0,barrier,barrier,Qubit 0,barrier,main
1528,1592,64,measure_start,measure_0,Qubit 0,play,main
1528,1528,0,barrier,barrier,Qubit 155,barrier,main
1528,1592,64,measure_start,measure_155,Qubit 155,play,main
1592,1700,108,measure_start,measure_0,Qubit 0,play,main
1592,1700,108,measure_start,measure_155,Qubit 155,play,main
1639,1999,360,measure_capture,measure_0,AWGR0_0,capture,main
1639,1999,360,measure_capture,measure_155,AWGR15_155,capture,main
1639,2207,568,broadcast,broadcast,Hub,broadcast,main
1700,1764,64,measure_start,measure_0,Qubit 0,play,main
1700,1764,64,measure_start,measure_155,Qubit 155,play,main
1764,1828,64,measure_start,measure_0,Qubit 0,play,main
1764,1828,64,measure_start,measure_155,Qubit 155,play,main
2207,2214,7,receive,receive,Receive,receive,main
2219,2219,0,barrier,barrier,Qubit 0,barrier,main
2219,2219,0,barrier,barrier,Qubit 155,barrier,main
2226,2226,0,barrier,barrier,Qubit 0,barrier,main
2226,2226,0,barrier,barrier,Qubit 10,barrier,main
2226,2226,0,barrier,barrier,Qubit 11,barrier,main
2226,2226,0,barrier,barrier,Qubit 12,barrier,main
2226,2226,0,barrier,barrier,Qubit 13,barrier,main
2226,2226,0,barrier,barrier,Qubit 155,barrier,main
2226,2226,0,barrier,barrier,Qubit 18,barrier,main
2289,2306,17,cz,cz_11_18,Qubit 11,play,then
2289,2306,17,cz,cz_11_18,Qubit 18,play,then
2295,2315,20,cz,cz_12_13,Qubit 12,play,then
2295,2315,20,cz,cz_12_13,Qubit 13,play,then
2306,2306,0,cz,cz_11_18,Qubit 11,shift_phase,then
2306,2306,0,cz,cz_11_18,Qubit 18,shift_phase,then
2315,2315,0,cz,cz_12_13,Qubit 12,shift_phase,then
2315,2315,0,cz,cz_12_13,Qubit 13,shift_phase,then
2324,2341,17,cz,cz_11_12,Qubit 11,play,then
2324,2341,17,cz,cz_11_12,Qubit 12,play,then
2341,2341,0,cz,cz_11_12,Qubit 11,shift_phase,then
2341,2341,0,cz,cz_11_12,Qubit 12,shift_phase,then
2368,2368,0,barrier,barrier,Qubit 0,barrier,main
2368,2368,0,barrier,barrier,Qubit 10,barrier,main
2368,2368,0,barrier,barrier,Qubit 10,barrier,main
2368,2432,64,measure_start,measure_10,Qubit 10,play,main
2368,2368,0,barrier,barrier,Qubit 11,barrier,main
2368,2368,0,barrier,barrier,Qubit 11,barrier,main
2368,2432,64,measure_start,measure_11,Qubit 11,play,main
2368,2368,0,barrier,barrier,Qubit 12,barrier,main
2368,2368,0,barrier,barrier,Qubit 12,barrier,main
2368,2432,64,measure_start,measure_12,Qubit 12,play,main
2368,2368,0,barrier,barrier,Qubit 13,barrier,main
2368,2368,0,barrier,barrier,Qubit 13,barrier,main
2368,2432,64,measure_start,measure_13,Qubit 13,play,main
2368,2368,0,barrier,barrier,Qubit 155,barrier,main
2368,2368,0,barrier,barrier,Qubit 18,barrier,main
2368,2368,0,barrier,barrier,Qubit 18,barrier,main
2368,2432,64,measure_start,measure_18,Qubit 18,play,main
2432,2540,108,measure_start,measure_10,Qubit 10,play,main
2432,2540,108,measure_start,measure_11,Qubit 11,play,main
2432,2540,108,measure_start,measure_12,Qubit 12,play,main
2432,2540,108,measure_start,measure_13,Qubit 13,play,main
2432,2540,108,measure_start,measure_18,Qubit 18,play,main
2479,2839,360,measure_capture,measure_10,AWGR2_10,capture,main
2479,2839,360,measure_capture,measure_11,AWGR2_11,capture,main
2479,2839,360,measure_capture,measure_18,AWGR2_18,capture,main
2479,2839,360,measure_capture,measure_12,AWGR3_12,capture,main
2479,2839,360,measure_capture,measure_13,AWGR3_13,capture,main
2540,2604,64,measure_start,measure_10,Qubit 10,play,main
2540,2604,64,measure_start,measure_11,Qubit 11,play,main
2540,2604,64,measure_start,measure_12,Qubit 12,play,main
2540,2604,64,measure_start,measure_13,Qubit 13,play,main
2540,2604,64,measure_start,measure_18,Qubit 18,play,main
2604,2668,64,measure_start,measure_10,Qubit 10,play,main
2604,2668,64,measure_start,measure_11,Qubit 11,play,main
2604,2668,64,measure_start,measure_12,Qubit 12,play,main
2604,2668,64,measure_start,measure_13,Qubit 13,play,main
2604,2668,64,measure_start,measure_18,Qubit 18,play,main
3014,3014,0,barrier,barrier,Qubit 0,barrier,main
3014,3014,0,barrier,barrier,Qubit 10,barrier,main
3014,3014,0,barrier,barrier,Qubit 10,barrier,main
3014,3014,0,barrier,barrier,Qubit 11,barrier,main
3014,3014,0,barrier,barrier,Qubit 11,barrier,main
3014,3014,0,barrier,barrier,Qubit 12,barrier,main
3014,3014,0,barrier,barrier,Qubit 12,barrier,main
3014,3014,0,barrier,barrier,Qubit 13,barrier,main
3014,3014,0,barrier,barrier,Qubit 13,barrier,main
3014,3014,0,barrier,barrier,Qubit 155,barrier,main
3014,3014,0,barrier,barrier,Qubit 18,barrier,main
3014,3014,0,barrier,barrier,Qubit 18,barrier,main
