start,end,duration,event,op,resource,kind,block
5,5,0,barrier,barrier,Qubit 10,barrier,main
5,5,0,barrier,barrier,Qubit 11,barrier,main
5,5,0,barrier,barrier,Qubit 12,barrier,main
5,5,0,barrier,barrier,Qubit 13,barrier,main
5,5,0,barrier,barrier,Qubit 155,barrier,main
5,5,0,barrier,barrier,Qubit 18,barrier,main
1365,1365,0,barrier,barrier,Qubit 0,barrier,main
1365,1365,0,barrier,barrier,Qubit 10,barrier,main
1365,1365,0,barrier,barrier,Qubit 11,barrier,main
1365,1365,0,barrier,barrier,Qubit 12,barrier,main
1365,1365,0,barrier,barrier,Qubit 13,barrier,main
1365,1365,0,barrier,barrier,Qubit 155,barrier,main
1365,1365,0,barrier,barrier,Qubit 18,barrier,main
1365,1365,0,barrier,barrier,Qubit 9,barrier,main
1376,1393,17,cz,cz_11_18,Qubit 11,play,main
1376,1393,17,cz,cz_11_18,Qubit 18,play,main
1393,1393,0,cz,cz_11_18,Qubit 11,shift_phase,main
1393,1393,0,cz,cz_11_18,Qubit 18,shift_phase,main
1402,1402,0,barrier,barrier,Qubit 0,barrier,main
1402,1402,0,barrier,barrier,Qubit 10,barrier,main
1402,1402,0,barrier,barrier,Qubit 11,barrier,main
1402,1402,0,barrier,barrier,Qubit 12,barrier,main
1402,1402,0,barrier,barrier,Qubit 13,barrier,main
1402,1402,0,barrier,barrier,Qubit 155,barrier,main
1402,1402,0,barrier,barrier,Qubit 18,barrier,main
1402,1402,0,barrier,barrier,Qubit 9,barrier,main
1411,1428,17,cz,cz_11_12,Qubit 11,play,main
1411,1428,17,cz,cz_11_12,Qubit 12,play,main
1428,1428,0,cz,cz_11_12,Qubit 11,shift_phase,main
1428,1428,0,cz,cz_11_12,Qubit 12,shift_phase,main
1437,1437,0,barrier,barrier,Qubit 0,barrier,main
1437,1437,0,barrier,barrier,Qubit 10,barrier,main
1437,1437,0,barrier,barrier,Qubit 11,barrier,main
1437,1437,0,barrier,barrier,Qubit 12,barrier,main
1437,1437,0,barrier,barrier,Qubit 13,barrier,main
1437,1437,0,barrier,barrier,Qubit 155,barrier,main
1437,1437,0,barrier,barrier,Qubit 18,barrier,main
1437,1437,0,barrier,barrier,Qubit 9,barrier,main
1446,1466,20,cz,cz_12_13,Qubit 12,play,main
1446,1466,20,cz,cz_12_13,Qubit 13,play,main
1466,1466,0,cz,cz_12_13,Qubit 12,shift_phase,main
1466,1466,0,cz,cz_12_13,Qubit 13,shift_phase,main
1475,1475,0,barrier,barrier,Qubit 0,barrier,main
1475,1475,0,barrier,barrier,Qubit 10,barrier,main
1475,1475,0,barrier,barrier,Qubit 11,barrier,main
1475,1475,0,barrier,barrier,Qubit 12,barrier,main
1475,1475,0,barrier,barrier,Qubit 13,barrier,main
1475,1475,0,barrier,barrier,Qubit 155,barrier,main
1475,1475,0,barrier,barrier,Qubit 18,barrier,main
1475,1475,0,barrier,barrier,Qubit 9,barrier,main
1493,1510,17,cz,cz_11_10,Qubit 10,play,main
1493,1510,17,cz,cz_11_10,Qubit 11,play,main
1510,1510,0,cz,cz_11_10,Qubit 10,shift_phase,main
1510,1510,0,cz,cz_11_10,Qubit 11,shift_phase,main
1519,1519,0,barrier,barrier,Qubit 0,barrier,main
1519,1519,0,barrier,barrier,Qubit 10,barrier,main
1519,1519,0,barrier,barrier,Qubit 11,barrier,main
1519,1519,0,barrier,barrier,Qubit 12,barrier,main
1519,1519,0,barrier,barrier,Qubit 13,barrier,main
1519,1519,0,barrier,barrier,Qubit 155,barrier,main
1519,1519,0,barrier,barrier,Qubit 18,barrier,main
1519,1519,0,barrier,barrier,Qubit 9,barrier,main
1528,1545,17,cz,cz_10_9,Qubit 10,play,main
1528,1545,17,cz,cz_10_9,Qubit 9,play,main
1545,1545,0,cz,cz_10_9,Qubit 10,shift_phase,main
1545,1545,0,cz,cz_10_9,Qubit 9,shift_phase,main
1554,1554,0,barrier,barrier,Qubit 0,barrier,main
1554,1554,0,barrier,barrier,Qubit 10,barrier,main
1554,1554,0,barrier,barrier,Qubit 11,barrier,main
1554,1554,0,barrier,barrier,Qubit 12,barrier,main
1554,1554,0,barrier,barrier,Qubit 13,barrier,main
1554,1554,0,barrier,barrier,Qubit 155,barrier,main
1554,1554,0,barrier,barrier,Qubit 18,barrier,main
1554,1554,0,barrier,barrier,Qubit 9,barrier,main
1563,1563,0,barrier,barrier,Qubit 0,barrier,main
1563,1627,64,measure_start,measure_0,Qubit 0,play,main
1563,1563,0,barrier,barrier,Qubit 155,barrier,main
1563,1627,64,measure_start,measure_155,Qubit 155,play,main
1627,1735,108,measure_start,measure_0,Qubit 0,play,main
1627,1735,108,measure_start,measure_155,Qubit 155,play,main
1674,2034,360,measure_capture,measure_0,AWGR0_0,capture,main
1674,2034,360,measure_capture,measure_155,AWGR15_155,capture,main
1674,2242,568,broadcast,broadcast,Hub,broadcast,main
1735,1799,64,measure_start,measure_0,Qubit 0,play,main
1735,1799,64,measure_start,measure_155,Qubit 155,play,main
1799,1863,64,measure_start,measure_0,Qubit 0,play,main
1799,1863,64,measure_start,measure_155,Qubit 155,play,main
2242,2249,7,receive,receive,Receive,receive,main
2254,2254,0,barrier,barrier,Qubit 0,barrier,main
2254,2254,0,barrier,barrier,Qubit 155,barrier,main
2261,2261,0,barrier,barrier,Qubit 0,barrier,main
2261,2261,0,barrier,barrier,Qubit 10,barrier,main
2261,2261,0,barrier,barrier,Qubit 11,barrier,main
2261,2261,0,barrier,barrier,Qubit 12,barrier,main
2261,2261,0,barrier,barrier,Qubit 13,barrier,main
2261,2261,0,barrier,barrier,Qubit 155,barrier,main
2261,2261,0,barrier,barrier,Qubit 18,barrier,main
2261,2261,0,barrier,barrier,Qubit 9,barrier,main
2323,2340,17,cz,cz_10_9,Qubit 10,play,then
2323,2340,17,cz,cz_10_9,Qubit 9,play,then
2340,2340,0,cz,cz_10_9,Qubit 10,shift_phase,then
2340,2340,0,cz,cz_10_9,Qubit 9,shift_phase,then
2349,2366,17,cz,cz_11_10,Qubit 10,play,then
2349,2366,17,cz,cz_11_10,Qubit 11,play,then
2355,2375,20,cz,cz_12_13,Qubit 12,play,then
2355,2375,20,cz,cz_12_13,Qubit 13,play,then
2366,2366,0,cz,cz_11_10,Qubit 10,shift_phase,then
2366,2366,0,cz,cz_11_10,Qubit 11,shift_phase,then
2375,2375,0,cz,cz_12_13,Qubit 12,shift_phase,then
2375,2375,0,cz,cz_12_13,Qubit 13,shift_phase,then
2384,2401,17,cz,cz_11_12,Qubit 11,play,then
2384,2401,17,cz,cz_11_12,Qubit 12,play,then
2401,2401,0,cz,cz_11_12,Qubit 11,shift_phase,then
2401,2401,0,cz,cz_11_12,Qubit 12,shift_phase,then
2428,2428,0,barrier,barrier,Qubit 0,barrier,main
2428,2428,0,barrier,barrier,Qubit 10,barrier,main
2428,2428,0,barrier,barrier,Qubit 10,barrier,main
2428,2492,64,measure_start,measure_10,Qubit 10,play,main
2428,2428,0,barrier,barrier,Qubit 11,barrier,main
2428,2428,0,barrier,barrier,Qubit 11,barrier,main
2428,2492,64,measure_start,measure_11,Qubit 11,play,main
2428,2428,0,barrier,barrier,Qubit 12,barrier,main
2428,2428,0,barrier,barrier,Qubit 12,barrier,main
2428,2492,64,measure_start,measure_12,Qubit 12,play,main
2428,2428,0,barrier,barrier,Qubit 13,barrier,main
2428,2428,0,barrier,barrier,Qubit 13,barrier,main
2428,2492,64,measure_start,measure_13,Qubit 13,play,main
2428,2428,0,barrier,barrier,Qubit 155,barrier,main
2428,2428,0,barrier,barrier,Qubit 18,barrier,main
2428,2428,0,barrier,barrier,Qubit 18,barrier,main
2428,2492,64,measure_start,measure_18,Qubit 18,play,main
2428,2428,0,barrier,barrier,Qubit 9,barrier,main
2428,2428,0,barrier,barrier,Qubit 9,barrier,main
2428,2492,64,measure_start,measure_9,Qubit 9,play,main
2492,2600,108,measure_start,measure_10,Qubit 10,play,main
2492,2600,108,measure_start,measure_11,Qubit 11,play,main
2492,2600,108,measure_start,measure_12,Qubit 12,play,main
2492,2600,108,measure_start,measure_13,Qubit 13,play,main
2492,2600,108,measure_start,measure_18,Qubit 18,play,main
2492,2600,108,measure_start,measure_9,Qubit 9,play,main
2539,2899,360,measure_capture,measure_10,AWGR2_10,capture,main
