start,end,duration,event,op,resource,kind,block
5,5,0,barrier,barrier,Qubit 10,barrier,main
5,5,0,barrier,barrier,Qubit 11,barrier,main
5,5,0,barrier,barrier,Qubit 12,barrier,main
5,5,0,barrier,barrier,Qubit 13,barrier,main
5,5,0,barrier,barrier,Qubit 155,barrier,main
5,5,0,barrier,barrier,Qubit 18,barrier,main
1365,1365,0,barrier,barrier,Qubit 0,barrier,main
1365,1365,0,barrier,barrier,Qubit 10,barrier,main
1365,1365,0,barrier,barrier,Qubit 11,barrier,main
1365,1365,0,barrier,barrier,Qubit 12,barrier,main
1365,1365,0,barrier,barrier,Qubit 13,barrier,main
1365,1365,0,barrier,barrier,Qubit 155,barrier,main
1365,1365,0,barrier,barrier,Qubit 18,barrier,main
1365,1365,0,barrier,barrier,Qubit 9,barrier,main
1376,1393,17,cz,cz_11_18,Qubit 11,play,main
1376,1393,17,cz,cz_11_18,Qubit 18,play,main
1393,1393,0,cz,cz_11_18,Qubit 11,shift_phase,main
1393,1393,0,cz,cz_11_18,Qubit 18,shift_phase,main
1402,1402,0,barrier,barrier,Qubit 0,barrier,main
1402,1402,0,barrier,barrier,Qubit 10,barrier,main
1402,1402,0,barrier,barrier,Qubit 11,barrier,main
1402,1402,0,barrier,barrier,Qubit 12,barrier,main
1402,1402,0,barrier,barrier,Qubit 13,barrier,main
1402,1402,0,barrier,barrier,Qubit 155,barrier,main
1402,1402,0,barrier,barrier,Qubit 18,barrier,main
1402,1402,0,barrier,barrier,Qubit 9,barrier,main
1411,1428,17,cz,cz_11_12,Qubit 11,play,main
1411,1428,17,cz,cz_11_12,Qubit 12,play,main
1428,1428,0,cz,cz_11_12,Qubit 11,shift_phase,main
1428,1428,0,cz,cz_11_12,Qubit 12,shift_phase,main
1437,1437,0,barrier,barrier,Qubit 0,barrier,main
1437,1437,0,barrier,barrier,Qubit 10,barrier,main
1437,1437,0,barrier,barrier,Qubit 11,barrier,main
1437,1437,0,barrier,barrier,Qubit 12,barrier,main
1437,1437,0,barrier,barrier,Qubit 13,barrier,main
1437,1437,0,barrier,barrier,Qubit 155,barrier,main
1437,1437,0,barrier,barrier,Qubit 18,barrier,main
1437,1437,0,barrier,barrier,Qubit 9,barrier,main
1446,1446,0,barrier,barrier,Qubit 0,barrier,main
1446,1446,0,barrier,barrier,Qubit 10,barrier,main
1446,1446,0,barrier,barrier,Qubit 11,barrier,main
1446,1446,0,barrier,barrier,Qubit 12,barrier,main
1446,1446,0,barrier,barrier,Qubit 13,barrier,main
1446,1446,0,barrier,barrier,Qubit 155,barrier,main
1446,1446,0,barrier,barrier,Qubit 18,barrier,main
1446,1446,0,barrier,barrier,Qubit 9,barrier,main
1464,1481,17,cz,cz_11_10,Qubit 10,play,main
1464,1481,17,cz,cz_11_10,Qubit 11,play,main
1481,1481,0,cz,cz_11_10,Qubit 10,shift_phase,main
1481,1481,0,cz,cz_11_10,Qubit 11,shift_phase,main
1490,1490,0,barrier,barrier,Qubit 0,barrier,main
1490,1490,0,barrier,barrier,Qubit 10,barrier,main
1490,1490,0,barrier,barrier,Qubit 11,barrier,main
1490,1490,0,barrier,barrier,Qubit 12,barrier,main
1490,1490,0,barrier,barrier,Qubit 13,barrier,main
1490,1490,0,barrier,barrier,Qubit 155,barrier,main
1490,1490,0,barrier,barrier,Qubit 18,barrier,main
1490,1490,0,barrier,barrier,Qubit 9,barrier,main
1499,1516,17,cz,cz_10_9,Qubit 10,play,main
1499,1516,17,cz,cz_10_9,Qubit 9,play,main
1516,1516,0,cz,cz_10_9,Qubit 10,shift_phase,main
1516,1516,0,cz,cz_10_9,Qubit 9,shift_phase,main
1525,1525,0,barrier,barrier,Qubit 0,barrier,main
1525,1525,0,barrier,barrier,Qubit 10,barrier,main
1525,1525,0,barrier,barrier,Qubit 11,barrier,main
1525,1525,0,barrier,barrier,Qubit 12,barrier,main
1525,1525,0,barrier,barrier,Qubit 13,barrier,main
1525,1525,0,barrier,barrier,Qubit 155,barrier,main
1525,1525,0,barrier,barrier,Qubit 18,barrier,main
1525,1525,0,barrier,barrier,Qubit 9,barrier,main
1534,1534,0,barrier,barrier,Qubit 0,barrier,main
1534,1598,64,measure_start,measure_0,Qubit 0,play,main
1534,1534,0,barrier,barrier,Qubit 155,barrier,main
1534,1598,64,measure_start,measure_155,Qubit 155,play,main
1598,1706,108,measure_start,measure_0,Qubit 0,play,main
1598,1706,108,measure_start,measure_155,Qubit 155,play,main
1645,2005,360,measure_capture,measure_0,AWGR0_0,capture,main
1645,2005,360,measure_capture,measure_155,AWGR15_155,capture,main
1645,2213,568,broadcast,broadcast,Hub,broadcast,main
1706,1770,64,measure_start,measure_0,Qubit 0,play,main
1706,1770,64,measure_start,measure_155,Qubit 155,play,main
1770,1834,64,measure_start,measure_0,Qubit 0,play,main
1770,1834,64,measure_start,measure_155,Qubit 155,play,main
2213,2220,7,receive,receive,Receive,receive,main
2225,2225,0,barrier,barrier,Qubit 0,barrier,main
2225,2225,0,barrier,barrier,Qubit 155,barrier,main
2232,2232,0,barrier,barrier,Qubit 0,barrier,main
2232,2232,0,barrier,barrier,Qubit 10,barrier,main
2232,2232,0,barrier,barrier,Qubit 11,barrier,main
2232,2232,0,barrier,barrier,Qubit 12,barrier,main
2232,2232,0,barrier,barrier,Qubit 13,barrier,main
2232,2232,0,barrier,barrier,Qubit 155,barrier,main
2232,2232,0,barrier,barrier,Qubit 18,barrier,main
2232,2232,0,barrier,barrier,Qubit 9,barrier,main
2294,2311,17,cz,cz_10_9,Qubit 10,play,then
2294,2311,17,cz,cz_10_9,Qubit 9,play,then
2311,2311,0,cz,cz_10_9,Qubit 10,shift_phase,then
2311,2311,0,cz,cz_10_9,Qubit 9,shift_phase,then
2320,2337,17,cz,cz_11_10,Qubit 10,play,then
2320,2337,17,cz,cz_11_10,Qubit 11,play,then
2337,2337,0,cz,cz_11_10,Qubit 10,shift_phase,then
2337,2337,0,cz,cz_11_10,Qubit 11,shift_phase,then
2355,2372,17,cz,cz_11_12,Qubit 11,play,then
2355,2372,17,cz,cz_11_12,Qubit 12,play,then
2372,2372,0,cz,cz_11_12,Qubit 11,shift_phase,then
2372,2372,0,cz,cz_11_12,Qubit 12,shift_phase,then
2399,2399,0,barrier,barrier,Qubit 0,barrier,main
2399,2399,0,barrier,barrier,Qubit 10,barrier,main
2399,2399,0,barrier,barrier,Qubit 10,barrier,main
2399,2463,64,measure_start,measure_10,Qubit 10,play,main
2399,2399,0,barrier,barrier,Qubit 11,barrier,main
2399,2399,0,barrier,barrier,Qubit 11,barrier,main
2399,2463,64,measure_start,measure_11,Qubit 11,play,main
2399,2399,0,barrier,barrier,Qubit 12,barrier,main
2399,2399,0,barrier,barrier,Qubit 12,barrier,main
2399,2463,64,measure_start,measure_12,Qubit 12,play,main
2399,2399,0,barrier,barrier,Qubit 13,barrier,main
2399,2399,0,barrier,barrier,Qubit 13,barrier,main
2399,2463,64,measure_start,measure_13,Qubit 13,play,main
2399,2399,0,barrier,barrier,Qubit 155,barrier,main
2399,2399,0,barrier,barrier,Qubit 18,barrier,main
2399,2399,0,barrier,barrier,Qubit 18,barrier,main
2399,2463,64,measure_start,measure_18,Qubit 18,play,main
2399,2399,0,barrier,barrier,Qubit 9,barrier,main
2399,2399,0,barrier,barrier,Qubit 9,barrier,main
2399,2463,64,measure_start,measure_9,Qubit 9,play,main
2463,2571,108,measure_start,measure_10,Qubit 10,play,main
2463,2571,108,measure_start,measure_11,Qubit 11,play,main
2463,2571,108,measure_start,measure_12,Qubit 12,play,main
2463,2571,108,measure_start,measure_13,Qubit 13,play,main
2463,2571,108,measure_start,measure_18,Qubit 18,play,main
2463,2571,108,measure_start,measure_9,Qubit 9,play,main
2510,2870,360,measure_capture,measure_10,AWGR2_10,capture,main
2510,2870,360,measure_capture,measure_11,AWGR2_11,capture,main
2510,2870,360,measure_capture,measure_18,AWGR2_18,capture,main
2510,2870,360,measure_capture,measure_9,AWGR2_9,capture,main
2510,2870,360,measure_capture,measure_12,AWGR3_12,capture,main
2510,2870,360,measure_capture,measure_13,AWGR3_13,capture,main
2571,2635,64,measure_start,measure_10,Qubit 10,play,main
2571,2635,64,measure_start,measure_11,Qubit 11,play,main
2571,2635,64,measure_start,measure_12,Qubit 12,play,main
