start,end,duration,event,op,resource,kind,block
5,69,64,qubit_op,INIT_0,Qubit 0,play,main
5,69,64,qubit_op,INIT_10,Qubit 10,play,main
5,69,64,qubit_op,INIT_11,Qubit 11,play,main
5,5,0,barrier,barrier,Qubit 11,barrier,main
5,69,64,qubit_op,INIT_12,Qubit 12,play,main
5,5,0,barrier,barrier,Qubit 12,barrier,main
5,69,64,qubit_op,INIT_13,Qubit 13,play,main
5,5,0,barrier,barrier,Qubit 13,barrier,main
5,69,64,qubit_op,INIT_155,Qubit 155,play,main
5,5,0,barrier,barrier,Qubit 155,barrier,main
69,177,108,qubit_op,INIT_0,Qubit 0,play,main
69,177,108,qubit_op,INIT_10,Qubit 10,play,main
69,177,108,qubit_op,INIT_11,Qubit 11,play,main
69,177,108,qubit_op,INIT_12,Qubit 12,play,main
69,177,108,qubit_op,INIT_13,Qubit 13,play,main
69,177,108,qubit_op,INIT_155,Qubit 155,play,main
116,476,360,other,INIT_0,AWGR0_0,capture,main
116,476,360,other,INIT_155,AWGR15_155,capture,main
116,476,360,other,INIT_10,AWGR2_10,capture,main
116,476,360,other,INIT_11,AWGR2_11,capture,main
116,476,360,other,INIT_12,AWGR3_12,capture,main
116,476,360,other,INIT_13,AWGR3_13,capture,main
177,241,64,qubit_op,INIT_0,Qubit 0,play,main
177,241,64,qubit_op,INIT_10,Qubit 10,play,main
177,241,64,qubit_op,INIT_11,Qubit 11,play,main
177,241,64,qubit_op,INIT_12,Qubit 12,play,main
177,241,64,qubit_op,INIT_13,Qubit 13,play,main
177,241,64,qubit_op,INIT_155,Qubit 155,play,main
241,305,64,qubit_op,INIT_0,Qubit 0,play,main
241,305,64,qubit_op,INIT_10,Qubit 10,play,main
241,305,64,qubit_op,INIT_11,Qubit 11,play,main
241,305,64,qubit_op,INIT_12,Qubit 12,play,main
241,305,64,qubit_op,INIT_13,Qubit 13,play,main
241,305,64,qubit_op,INIT_155,Qubit 155,play,main
676,685,9,qubit_op,INIT_0,Qubit 0,play,main
676,685,9,qubit_op,INIT_10,Qubit 10,play,main
676,685,9,qubit_op,INIT_11,Qubit 11,play,main
676,685,9,qubit_op,INIT_12,Qubit 12,play,main
676,685,9,qubit_op,INIT_13,Qubit 13,play,main
676,685,9,qubit_op,INIT_155,Qubit 155,play,main
685,749,64,qubit_op,INIT_0,Qubit 0,play,main
685,749,64,qubit_op,INIT_10,Qubit 10,play,main
685,749,64,qubit_op,INIT_11,Qubit 11,play,main
685,749,64,qubit_op,INIT_12,Qubit 12,play,main
685,749,64,qubit_op,INIT_13,Qubit 13,play,main
685,749,64,qubit_op,INIT_155,Qubit 155,play,main
749,857,108,qubit_op,INIT_0,Qubit 0,play,main
749,857,108,qubit_op,INIT_10,Qubit 10,play,main
749,857,108,qubit_op,INIT_11,Qubit 11,play,main
749,857,108,qubit_op,INIT_12,Qubit 12,play,main
749,857,108,qubit_op,INIT_13,Qubit 13,play,main
749,857,108,qubit_op,INIT_155,Qubit 155,play,main
796,1156,360,other,INIT_0,AWGR0_0,capture,main
796,1156,360,other,INIT_155,AWGR15_155,capture,main
796,1156,360,other,INIT_10,AWGR2_10,capture,main
796,1156,360,other,INIT_11,AWGR2_11,capture,main
796,1156,360,other,INIT_12,AWGR3_12,capture,main
796,1156,360,other,INIT_13,AWGR3_13,capture,main
857,921,64,qubit_op,INIT_0,Qubit 0,play,main
857,921,64,qubit_op,INIT_10,Qubit 10,play,main
857,921,64,qubit_op,INIT_11,Qubit 11,play,main
857,921,64,qubit_op,INIT_12,Qubit 12,play,main
857,921,64,qubit_op,INIT_13,Qubit 13,play,main
857,921,64,qubit_op,INIT_155,Qubit 155,play,main
921,985,64,qubit_op,INIT_0,Qubit 0,play,main
